ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
141	Orange	11r	106	ϛ´	Rom 2:7 (I)	1	Unattributed	
142	Green	11r	106Ph	Φωτ(ίου) and sign 	Rom 2:6 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 480 (Rom 2:6‒8)	
143		11r	107	ζ´	Rom 2:7 (II)	2	Unattributed	
144		11r	108	η´	Rom 2:7 (III)	3	Unattributed	
145	Orange	11r	109	θ´	Rom 2:8 (I)	1	Unattributed	
146		11r	110ex 	ι´ and Οἰκουμενί(ου)	Rom 2:8 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 423, 4	
147		11r	110	ι´	Rom 2:8 (III)	3	Unattributed	
148	Orange	11v	111	ια´ 	Rom 2:9 (I)	1	Unattributed	
149		11v	112	ιβ´	Rom 2:9 (II)	2	Unattributed	
150		11v	113ex 	ιγ´ and Οἰκουμενί(ου)	Rom 2:9 (III)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 423, 4	
151	Orange	11v	114	ιδ´ 	Rom 2:10 (I)	1	Unattributed	
152		11v	115	ιε´	Rom 2:10 (II)	2	Unattributed	
153		11v	116	ιϛ´	Rom 2:10 (III)	3	Unattributed	
154	Orange	11v	117	ιζ´	Rom 2:11	1	Unattributed	
155		11v	118	ιη´	Rom 2:11 (II)	1	Unattributed	
156	Orange	11v	118exa	–	Rom 2:12 (I)	1	Unattributed 	
157		11v	118exb	–	Rom 2:12 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), hom. 5: Field, 1854, 63, E 9–A 6, or Jo. D., Rom.‒Philm. (CPG 8079): Volk, 2013, 35, 311–316	
158	Green	11v	118exc	–	Rom 2:12 (Acts?) 	3	Or., fr. in Rom. (CPG 1457.2): Hammond-Bammel, 1998, 130, 1–11:	
159	Orange	12r	119	ιθ´	Rom 2:13	1	Unattributed 	
160	Orange	12r	120	κ´	Rom 2:14 (I)	1	Unattributed 	
161		12r	120ex	Ἰωάννου and sign 	Rom 2:14 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), hom. 5: Field, 1854, 64, D 4	
162	Orange	12r	121	κα´ 	Rom 2:14	1	Unattributed	
163	Orange	12r	122	κβ´	Rom 2:15 (I)	1	Unattributed	
164		12r	123	κγ´	Rom 2:15 (II)	2	Unattributed	
165	Orange	12r	124	κδ´ 	Rom 2:15 (I)	1	Unattributed	
166		12rv	124Ph	Φωτ(ίου) and sign 	Rom 2:15 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933. 480‒482 (Rom 2:15‒16)	
167	Orange	12v	125	κε´ 	Rom 2:16 (I)	1	Unattributed	
168		12v	126	κϛ´	Rom 2:16 (II)	2	Unattributed	
169	Orange	12v	127	κζ´	Rom 2:17 (I)	1	Unattributed	
170		12v	128	κη´ 	Rom 2:17 (II)	2	Unattributed	 The number is present only above the biblical lemma.
171		12v	128ex 	Θε(οδωρήτου) and sign 	Rom 2:17 (III)	3	Thdt., Rom., I, 36 (CPG 6209): Lorrain, 2015a, 171.36, 3–5	
172		12v	129	κθ´	Rom 2:17 (IV)	4	Unattributed	
173		12v	130	λ´	Rom 2:17 (V)	5	Unattributed	
174	Orange	12v	131	λα´ 	Rom 2:18 (I)	1	Unattributed	
175		12v	132	λβ´	Rom 2:18 (II)	2	Unattributed	
176	Orange	13r	133	λγ´	Rom 2:19	1	Unattributed	
177	Orange	13r	134	λδ´	Rom 2:20 (I)	1	Unattributed	
178		13r	134Ph	Φωτ(ίου) and sign 	Rom 2:20 (II)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 482 (Rom 2:18‒21)	
179	Orange	13r	135	λε´	Rom 2:21	1	Unattributed	
180	Orange	13r	135ex	–	Rom 2:22 (I)	1	Unattributed	The scholium is added in the inner margin.
181		13v	136	λϛ´	Rom 2:22 (II)	2	Unattributed	
182		13v	136Ph	Φωτ(ίου) and sign 	Rom 2:22 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 482, 26–35; 483, 1–3	
183	Orange	13v	137	λζ´	Rom 2:23	1	Unattributed	
184	Orange	13v	138	λη´	Rom 2:24 (I)	1	Unattributed	The number is present only above the biblical lemma.
185		13v	139	λθ´	Rom 2:24 (II)	2	Unattributed	The number is present only above the biblical lemma.
186		13v	140	μ´	Rom 2:24 (III)	3	Unattributed	The number is present only above the biblical lemma.
187	Orange	13v	141	μα´	Rom 2:25 (I)	1	Unattributed	The number is present only above the biblical lemma.
188		14r	142	μβ´	Rom 2:25 (II)	2	Unattributed	
189		14r	142Pha	Φωτ(ίου) 	Rom 2:25 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933 483, 4–13	
190		14r	142Phb 	εἰς τὸν αὐτόν	Rom 2:25 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 483, 14–32 	
191	Orange	14r	143	μγ´	Rom 2:25	1	Unattributed	
192	Orange	14r	144	μδ´ 	Rom 2:26 (I)	1	Unattributed	
193		14r	145	με´ 	Rom 2:26 (II)	2	Unattributed	
194	Orange	14r	146	μϛ´	Rom 2:27 (I)	1	Unattributed	
195	Green	14r	146Ph	Φωτ(ίου) 	Rom 2:26–27 (I, II, I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 483, 33–36 	
196		14v 	147	μζ´ 	Rom 2:27 (II)	3	Unattributed	
197		14v 	147Ph	Φωτ(ίου) 	Rom 2:27 (II)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 484, 1–5	
198	Orange	14v 	148	μη´	Rom 2:28 (I)	1	Unattributed	
199		14v 	148ex	–	Rom 2:28 (II)	2	Unattributed	
200		14v 	149	μθ´ 	Rom 2:28 (III)	3	Unattributed	
201	Orange	14v 	150	ν´ 	Rom 2:29 (I)	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 423, 6	
202		14v 	151	να´ 	Rom 2:29 (II)	2	Unattributed	
203		14v 	152	[ν]β´	Rom 2:29 (III)	3	Unattributed	
204		14v 	153	νγ´	Rom 2:29 (IV)	4	Unattributed	The number is present only above the biblical lemma.
205	Orange	14v 	154	νδ´	Rom 3:1 (I)	1	Unattributed	The number is present only above the biblical lemma.
206		14v 	154ex 	sign 	Rom 3:1 (I)	2	Thdt., Rom., I, 42 (CPG 6209): Lorrain, 2015a, 175.42, 1–5, 177.42, 6–7, 43, 1–7	
207	Orange	15r	155	νε´ 	Rom 3:2 (I)	1	Unattributed	
208		15r	156	νϛ´	Rom 3:2 (II)	2	Unattributed	
209	Orange	15r	157	νζ´	Rom 3:3 (I)	1	Unattributed	
