ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
355	Orange	25r	258	νη´	Rom 5:5 (I)	1	Unattributed	
356		25r	258ex 	Oἰκου(μενίου)	Rom 5:5 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 3–6	
357	Orange	25v	259	νθ´ 	Rom 5:6 (I)	1	Unattributed	
358		25v	259Ph	Φωτ(ίου) 	Rom 5:6 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 494, 29–36, 495, 1–29 	
359		25v	260	ξ´	Rom 5:6 (II)	3	Unattributed	The scholium is added in the space for the biblical text.
360		25v	261	ξα´	Rom 5:6 (III)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 7	The scholium is added in the space for the biblical text.
361	Orange	26r	262	ξβ´ 	Rom 5:8	1	Unattributed	
362	Orange	26r	263	ξγ´ 	Rom 5:9	1	Unattributed	
363	Orange	26r	264	ξδ´	Rom 5:10 (I)	1	Unattributed	
364		26r	265	ξε´	Rom 5:10 (II)	2	Unattributed	
365	Orange	26r	266	ξϛ´	Rom 5:11 (I)	1	Unattributed	
366		26r	267	ξζ´	Rom 5:11 (II)	2	Unattributed	The number is present only above the biblical lemma.
367	Orange	26v	268	ξη´ 	Rom 5:12 (I)	1	Unattributed	
368		26v	268Ph	Φωτ(ίου) 	Rom 5:12 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 495, 30–37, 496, 1–8 	
369		26v	269	ξθ´	Rom 5:12 (II)	3	Unattributed	
370		26v	270	ο´	Rom 5:12 (II)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 8–11	The number is present only in front of the scholium.
371		26v	270Ph	Φωτ(ίου) 	Rom 5:12 (II)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 496, 9–13 	
372	Orange	27r	271	οα´ 	Rom 5:13 (I)	1	Unattributed	
373		27r	271exa	Oἰκου(μενίου)	Rom 5:13 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 12–15	
374		27r	271exb	Τοῦ αὐτοῦ	Rom 5:13 (I)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 424, 16–26, 425, 1–3	
375		27r	271Ph	– 	Rom 5:13 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 496, 14–35, 497, 1–4 	
376	Orange	27v	272	οβ´	Rom 5:14 (I)	1	Unattributed	
377		27v	272Ph	Φωτ(ίου) 	Rom 5:14 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 497, 5–34	
378		27v	273	οθ´	Rom 5:14 (II)	3	Unattributed	The right number should be ογ; present only in front of the scholium.
379		27v	273ex 	ογ´ and Οἰκουμενίου	Rom 5:14 (II)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 425, note	
380		27v	273Ph	Φωτ(ίου) and sign 	Rom 5:14 (II)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 497, 35–38, 498, 1–11	
381		28r	274	οδ´ 	Rom 5:14 (III)	6	Unattributed	
382		28r	274ex 	Ἰωάννου and sign 	Rom 5:14 (III)	7	Chrys., hom 1‒32 in Rom. (CPG 4427), hom. 10 (Field, 1854, 143, C 8–D 2) or Jo. D., Rom.‒Philm. (CPG 8079): Volk. 2013. 56, 846–851	
383	Orange	28r	275	οε´ 	Rom 5:15 (I)	1	Unattributed	
384		28r	276	οϛ´	Rom 5:15 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 425, 8–14	
385		28r	276ex	Oἰκου(μενίου)	Rom 5:15 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 425, 15–27	
386		28v	277	οζ´	Rom 5:15 (III)	4	Unattributed	
387	Orange	28v	278	οη´	Rom 5:16 (I)	1	Unattributed	
388		28v	279	οθ´ 	Rom 5:16 (II)	2	Unattributed	
389	Orange	29r	280	π´	Rom 5:17 (I)	1	Unattributed	
390		29r	280Ph	Φωτ(ίου) 	Rom 5:17 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 498, 12–39, 499, 1–13 	
391		29v	281exa	πα´ and Οἰκουμενίου	Rom 5:17 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 1–3	
392		29v	281exb	Sign	Rom 5:17 (II)	4	Unattributed	
393	Orange	29v	282	πβ´ 	Rom 5:18	1	Unattributed	
394	Orange	29v	283	πγ´	Rom 5:19 (I)	1	Unattributed	
395		29v	284	πδ´	Rom 5:19 (II)	2	Unattributed	
396		29v	284ex	Oἰκου(μενίου)	Rom 5:19 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 4–6	
397		29v	285	πε´ 	Rom 5:19 (III)	4	Unattributed	
398	Orange	30r	286	πϛ´	Rom 5:20 (I)	1	Unattributed	
399		30r	286ex	Γενναδ(ίου) and sign 	Rom 5:20 (I)	2	Genn., fr. Rom. (CPG 5973): Staab, 1933, 364, 27–31, 365, 1–4	
400		30r	286Ph	Φωτ(ίου) 	Rom 5:20 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 499, 14–25 	
401		30r	287	πζ´	Rom 5:20 (II)	4	Unattributed	
402		30r	288	πη´	Rom 5:20 (III)	5	Unattributed	The number is present only in front of the scholium.
403		30r	289	πθ´	Rom 5:20 (IV)	6	Unattributed	
404		30r	290	ϟ´	Rom 5:20 (V)	7	Unattributed	
405		30r	290ex	Ὠριγέ(νους) and sign 	Rom 5:20 (V)	8	Or., fr. in Rom. (CPG 1457.2): Hammond-Bammel, 1998, 130, 1–7, 131, 8–10 	
406	Orange	30v	291	ϟα´ 	Rom 5:21 (I)	1	Unattributed	
407		30v	292	ϟβ´	Rom 5:21 (II)	2	Unattributed	
408		30v	292Ph	– 	Rom 5:21 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 499, 26–28 	
409		30v	293	ϟγ´ 	Rom 5:21 (III)	4	Unattributed	
410	Orange	30v	294	ϟδ´ 	Rom 6:1 (I)	1	Unattributed	
411		30v	295	ϟε´	Rom 6:1 (II)	2	Unattributed	
412	Orange	30v	296	ϟϛ´	Rom 6:2 (I)	1	Unattributed	
413		30v	297	ϟζ´	Rom 6:2 (II)	2	Unattributed	
414	Orange	30v	297ex	Σευηριανοῦ and sign 	Rom 6:3 (I)	1	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 218, 13–14 or Diod., Rom. (CPG 3819): Staab, 1933, 85, 17–18	
415		30v	298	ϟη´ 	Rom 6:3 (I)	2	Unattributed	
416		30v	298Ph	Φωτ(ίου) 	Rom 6:3 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 499, 29–31, 500, 1–12 	
417	Orange	31r	299	ϟθ´	Rom 6:4 (I)	1	Unattributed	
418		31r	299ex	Θεοδω(ρήτου) and sign 	Rom 6:4 (I)	2	Thdt., Rom., II, 34 (CPG 6209): Lorrain, 2015a, 216.34, 6‒217.34, 2	
419		31r	300	ρ´	Rom 6:4 (II)	3	Unattributed	
420		31r	301	α´	Rom 6:4 (III)	4	Unattributed	
421		31r	301Pha	Φωτ(ίου) 	Rom 6:4 (III)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 499, 29–31, 500, 13–15 	
422	Orange	31r	301Phb	Φωτ(ίου) 	Rom 6:5 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 500, 16–28 	
423		31r	302	β´	Rom 6:5 (I)	2	Unattributed	
424		31r	303	γ´	Rom 6:5 (II)	3	Unattributed	
425		31r	303exa	Tοῦ ἀγιοῦ Κυρίλλου ἐν τῷ ιβ´ βιβ(λίῳ) κ(α)τ(ὰ) ᾽Ιουλ(ιανοῦ)	Rom 6:5 (II)	4	Cyr., Juln. (CPG 5233): fragment from book XII; unidentified	
426		31r	303exb	– 	Rom 6:5 (II)	5	Unattributed	
427		31r	304	δ´	Rom 6:5 (III)	6	Unattributed	
428		31r	304ex	Oἰκου(μενίου)	Rom 6:5 (III)	7	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 7–8	
429	Orange	31v	305	ε´	Rom 6:6 (I)	1	Unattributed	
430		31v	305Ph	Φωτ(ίου) 	Rom 6:6 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 500, 29–33, 501, 1–10 	
431		31v	305ex	Θεοδω(ρήτου) and sign 	Rom 6:6 (I)	3	Thdt., Rom., II, 35 (CPG 6209): Lorrain, 2015a, 217.35, 2–4	
432		31v	306	ϛ´	Rom 6:6 (II)	4	Unattributed	
433		31v	306ex	Kυρίλλου and sign 	Rom 6:6 (II)	5	Cyr., Rom. (CPG 5209): Pusey, 1872, 192, 20–31, 193, 1–2	
434	Orange	31v	307	ζ´	Rom 6:7 (I)	1	Unattributed	
435	Green	31v	307Ph	– 	Rom 6:6 (II)	6	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 501, 11–16	
436	Orange	32r	308	η´ 	Rom 6:8  (I)	1	Unattributed	
437		32r	308Pha	Φωτ(ίου) 	Rom 6:8 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 501, 17–19	
438	Green	32r	308Phb	– 	Rom 6:4 	6	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 501, 20–24 	
439	Orange	32r	309	θ´	Rom 6:9 (I)	1	Unattributed	
440		32r	309ex	Oἰκου(μενίου) and sign 	Rom 6:9 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 9–10	
441	Orange	32r	310	ι´	Rom 6:10 (I)	1	Unattributed	
442		32r	311	ια´ 	Rom 6:10 (II)	2	Unattributed	
443		32r	311ex	Oἰκου(μενίου)	Rom 6:10 (II)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 11–14	
444	Orange	32r	312	ιβ´	Rom 6:11 (I)	1	Unattributed	
445		32r	313	ιγ´	Rom 6:11 (II)	2	Unattributed	
446	Orange	32v	313ex	Θεoδωρήτου and sign 	Rom 6:12 (I)	1	Thdt., Rom., III, 1 (CPG 6209): Lorrain, 2015a, 221.1, 1–9	
447		32v	314	ιδ´	Rom 6:12 (I) 	2	Unattributed	
448		32v	315	ιε´	Rom 6:12 (II)	3	Unattributed	
449		32v	315Ph	Φωτ(ίου) 	Rom 6:12 (I)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 501, 25–30 	
450	Orange	32v	316	ιϛ´	Rom 6:13 (I)	1	Unattributed	
451		32v	317	ιζ´	Rom 6:13 (II)	2	Unattributed	
452		32v	318	ιη´	Rom 6:13 (III)	3	Unattributed	
453		32v	319	ιθ´	Rom 6:13 (IV)	4	Unattributed	
454		32v	319Ph	Φωτ(ίου) 	Rom 6:13 (III)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 501, 31–33 	
455		32v	320	κ´	Rom 6:13 (IV)	6	Unattributed	
456		32v	321	κα´	Rom 6:13 (V)	7	Unattributed	
457	Orange	33r	321ex	–	Rom 6:14 (I)	1	Diod., Rom. (CPG 3819): Staab, 1933, 86, 7–10	
458		33r	321Ph	Φωτ(ίου) 	Rom 6:14 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 502, 1–10 	
459		33r	322	κβ´	Rom 6:14 (I)	3	Unattributed	
460	Orange	33r	323	κγ´	Rom 6:15	1	Unattributed	
461	Orange	33r	323Ph	Φωτ(ίου) 	Rom 6:16 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 502, 11–19 	
462		33r	324	κδ´ 	Rom 6:16 (I)	2	Unattributed	
463		33r	325	κε´ 	Rom 6:16 (II)	3	Unattributed	
464		33r	326	κϛ´	Rom 6:16 (III)	4	Unattributed	
465		33r	327	κζ´	Rom 6:16 (IV)	5	Unattributed	
466		33r	328	κη´	Rom 6:16 (V)	6	Unattributed	
467	Orange	33r	329	κθ´	Rom 6:17 (I)	1	Unattributed	
468		33v	330	λ´	Rom 6:17 (II)	2	Unattributed	
469		33v	331	λα´	Rom 6:17 (III)	3	Unattributed	
470		33v	332	λβ´	Rom 6:18 (I)	1	Unattributed	
471		33v	332Ph	Φωτ(ίου) 	Rom 6:18 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 502, 20–33, 503, 1–16 	
472	Orange	33v	333	λγ´	Rom 6:19 (I)	1	Unattributed	
473		33v	334	λδ´ 	Rom 6:19 (II)	2	Unattributed	
474		33v	334ex 	Sign	Rom 6:19 (I-II)	3	Thdt., Rom., III, 7 (CPG 6209): Lorrain, 2015a, 225.7, 1–2	
475		34r	335	λε´	Rom 6:19 (III)	4	Unattributed	
476	Orange	34r	336	λϛ´	Rom 6:20	1	Unattributed	
477	Orange	34r	337	λζ´	Rom 6:21 (I)	1	Unattributed	
478		34r	338	λη´	Rom 6:21 (II)	2	Unattributed	
479	Orange	34v	339	λθ´	Rom 6:22 (I)	1	Unattributed	
480		34v	340	μ´	Rom 6:22 (II)	2	Unattributed	
481	Orange	34v	341	μα´ 	Rom 6:23 (I)	1	Unattributed	
482		34v	342	μβ´ 	Rom 6:23 (II)	2	Unattributed	
483	Orange	34v	343	μγ´	Rom 7:1 (I)	1	Unattributed	
484		34v	344	μδ´	Rom 7:1 (II)	2	Unattributed	
485	Orange	34v	345	με´	Rom 7:2 (I)	1	Unattributed	
486	Green	34v	345Pha	Φωτ(ίου) 	Rom 6:23 (III) 	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 503, 17–18 	
487	Green	34v	345Phb	Φωτ(ίου) 	Rom 7:1 (III)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 503, 19–20 	
488		34v	346	μϛ´	Rom 7:2 (II)	2	Unattributed	
489		34v	346Ph	Φωτ(ίου) 	Rom 7:2 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 503, 21–23 	
490	Orange	35r	347	μζ´ 	Rom 7:3	1	Unattributed	
491	Orange	35r	348	μη´	Rom 7:4 (I)	1	Unattributed	
492	Green	35r	348ex	Βασιλείου	Rom 7:4 (but actually Rom 6:4, or Rom 7:6)?	2	Basil, unidentified: extract from De Baptismo (CPG 2907)?: PG31.1545b–c?: (Hammond-Bammel, 1998, 131, 1–7)	
493		35r	349	μθ´	Rom 7:4 (II)	3	Unattributed	
494		35r	350	ν´	Rom 7:4 (III)	4	Unattributed	
495		35r	351	να´ 	Rom 7:4 (IV)	5	Unattributed	
496	Orange	35r	351ex	Θεοδωρήτου and sign 	Rom 7:5 (I)	1	Thdt., Rom., III, 14 (CPG 6209): Lorrain, 2015a, 231.14, 1–3	
497		35r	352	νβ´	Rom 7:5 (II)	2	Unattributed	
498		35r	353	νγ´	Rom 7:5 (II)	3	Unattributed	
499		35r	354	νδ´	Rom 7:5 (III)	4	Unattributed	
500	Orange	35v	355	νε´	Rom 7:6 (I)	1	Unattributed	
501		35v	356	νϛ´	Rom 7:6 (II)	2	Unattributed	
502		35v	357	νζ´ 	Rom 7:6 (III)	3	Unattributed	
503	Orange	35v	357Ph	Φωτ(ίου) 	Rom 7:7 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 503, 24–28 	
504		35v	358	νη´	Rom 7:7 (I)	2	Unattributed	
505		35v	359	νθ´ 	Rom 7:7 (II)	3	Unattributed	
506		35v	359ex	Σευήρου and sign	Rom 7:7 (II)	4	Sever., Rom.‒Heb. (CPG 4219), or Diod., Rom. (CPG 3819): Staab, 1933, 87, 6–9	
507		36r	360	ξ´	Rom 7:7 (III)	5	Unattributed	
508	Orange	36r	360ex	Σευηρι(ανοῦ) and sign 	Rom 7:8 (I)	1	Sever., Rom.‒Heb. (CPG 4219) or Diod., Rom. (CPG 3819): Staab, 1933, 87, 21–25, 88, 1–4	
509		36r	361	ξα´	Rom 7:8 (II)	2	Unattributed	The number is present only in front of the scholium.
510		36r	361Ph	Φωτ(ίου) 	Rom 7:8 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 504, 1–17 	
511	Orange	36r	362	ξβ´	Rom 7:9 (I)	1	Unattributed	
512		36r	363	ξγ´	Rom 7:9 (II)	2	Unattributed	
513		36v	364	ξδ´	Rom 7:9 (III)	3	Unattributed	
514		36v	365	ξε´ 	Rom 7:9 (IV)	4	Unattributed	
515	Orange	36v	366	ξϛ´	Rom 7:11 (I)	1	Unattributed	
516		36v	366Ph	Φωτ(ίου) 	Rom 7:11 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 504, 18–34	
517	Orange	36v	367	ξζ´	Rom 7:12 (I)	1	Unattributed	
518		36v–37r	367Ph	Φωτ(ίου) 	Rom 7:12 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 504, 35–37, 505, 1–11 	
519		37r	367ex	Θεοδω(ρήτου) and sign 	Rom 7:12 (I and II)	3	Thdt., Rom., III, 21 (CPG 6209): Lorrain, 2015a, 235.21, 1–2, 237.23, 7–9 or Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 219, 31, 220, 1–3 	
520	Orange	37r	368	ξη´ 	Rom 7:13 (I)	1	Unattributed	
521		37r	368Ph	Φωτ(ίου) 	Rom 7:13 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 505, 12–34	
522		37r	369	ξθ´	Rom 7:13 (II)	3	Unattributed	
523	Orange	37v	370	ο´ 	Rom 7:14 (I)	1	Unattributed	
524		37v	371	οα´ 	Rom 7:14 (II)	2	Unattributed	
525		37v	371Ph	Φωτ(ίου) 	Rom 7:14 (I and II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 506, 1–7 	
526		37v	371ex	Oἰκου(μενίου)	Rom 7:14 (II)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 15–16	
527		37v	372	οβ´	Rom 7:14 (III)	5	Unattributed	
528		37v	373	ογ´	Rom 7:14 (IV)	6	Unattributed	
529	Orange	37v	374	οδ´	Rom 7:15 (I)	1	Unattributed	
530		37v	374Pha	Φωτ(ίου) 	Rom 7:15 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 506, 8–31 	
531		38r	374Phb	– 	Rom 7:15 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 506, 32–35, 507, 1–10 	
532		38r	375	οε´ 	Rom 7:15 (II)	4	Unattributed	
533	Orange	38r	376	οϛ´	Rom 7:16	1	Unattributed	
534	Orange	38r	377	οζ´	Rom 7:17 	1	Unattributed	
535	Orange	38r	377ex	Sign	Rom 7:18 (I)	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 17–19, 427, 1–3	
536		38r	378	οη´	Rom 7:18 (II)	2	Unattributed	
537		38r	379	οθ´	Rom 7:18 (III)	3	Unattributed	
538	Orange	38r	380	π´	Rom 7:19	1	Unattributed	
539	Orange	38v	381	πα´	Rom 7:20 (I)	1	Unattributed	
540		38r	382ex	πβ´ and Οἰκουμενίου	Rom 7:20 (II)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 426, 17–19, 427, 3–6	
541	Orange	38r	383	πγ´	Rom 7:21 (I)	1	Unattributed	
542		38r	383Pha	Φωτ(ίου) 	Rom 7:21(I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 507, 11–18 	
543		38r	383Phb 	–	Rom 7:21(I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 507, 19–35, 508, 1–18	
544		39r	384	πδ´	Rom 7:21 (II)	4	Unattributed	
545	Orange	39r	385	πε´	Rom 7:22 (I)	1	Unattributed	
546		39r	385ex	– 	Rom 7:22 (I)	2	Meth., res. (CPG 1825): Bonwetsch, 1917, 341, 1–3 (see further Cramer, 1844, IV, 205, 14–18)	
547		39r	385Ph	– 	Rom 7:22 (I)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 508, 19–33, 509, 1–3 	
548		39v	386	πϛ´	Rom 7:22 (II)	4	Unattributed	
549	Orange	39v	387ex	πζ´ and Οἰκουμενίου	Rom 7:23 (I)	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 427, 17–19, 427, 12–15	
550		39v	388	πη´	Rom 7:23 (II)	2	Unattributed	
551		39v	389	πθ´	Rom 7:23 (III)	3	Unattributed	
552	Orange	39v	390	ϟ´	Rom 7:24 	1	Unattributed	
553	Orange	39v	391	ϟα´	Rom 7:25 (I)	1	Unattributed	
554		39v	392	ϟβ´ 	Rom 7:25 (II)	2	Unattributed	
555		39v	393	ϟγ´	Rom 7:25 (III)	3	Unattributed	
556	Orange	39v	394	ϟδ´	Rom 8:1 (I)	1	Unattributed	
557		40r	395	ϟε´	Rom 8:1 (II)	2	Unattributed	
558	Orange	40r	396	ϟϛ´	Rom 8:2 (I)	1	Unattributed	
559		40r	396Ph	Φωτ(ίου) 	Rom 8:2 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 509, 4–5 	
560		40r	397	ϟζ´	Rom 8:3 (I)	3	Unattributed	
561		40r	398	ϟη´ 	Rom 8:3 (II)	4	Unattributed	
562		40r	399	ϟθ´	Rom 8:3 (III)	5	Unattributed	
563		40r	399ex	Τοῦ ἁγίου Βασι(λείου) ἐκ τῆς πρὸς Σωζοπο(λιτάνους) ἐπιστολῆς and sign 	Rom 8:3 (III)	6	Bas., ep. (CPG 2900), fr. ep. 261: Deferrari and McGuire, (trans.), 1934, 80–82, and Courtonne, (ed.), 1961, 118	
564		40v	400	ρ´	Rom 8:3 (IV)	7	Unattributed	
565		40v	400Ph	Φωτ(ίου) 	Rom 8:3 (IV)	8	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 509, 6–18 	
566		40v	401	α´	Rom 8:3 (V)	9	Unattributed	
567	Orange	40v	402	β´ 	Rom 8:4 	1	Unattributed	
568	Orange	40v	403	γ´	Rom 8:5(I)	1	Unattributed	
569		40v	404	δ´ 	Rom 8:5 (II)	2	Unattributed	
570	Orange	40v	405	–	Rom 8:6 (I)	1	Unattributed	
571		40v	406	ε´ 	Rom 8:6 (II)	2	Unattributed	
572		41r	407	ζ´	Rom 8:6 (III)	3	Unattributed	
573	Orange	41r	408	η´ 	Rom 8:7 (I)	1	Unattributed	
574		41r	409	θ´	Rom 8:7 (II)	2	Unattributed	
575		41r	409Ph	Φωτ(ίου) 	Rom 8:7 (I, II; and III)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 509, 19–27 	
576		41r	410	ι´	Rom 8:7 (IV)	4	Unattributed	
577	Orange	41r	411	ια´	Rom 8:8 	1	Unattributed	
578	Orange	41r	412	ιβ´	Rom 8:9 (I)	1	Unattributed	
579		41r	413	ιγ´	Rom 8:9 (II)	2	Unattributed	
580		41r	413Ph	Φωτ(ίου) 	Rom 8:9 (II)	3	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 509, 28–29, 510, 1–4 	
581		41v	414	ιδ´	Rom 8:9 (III)	4	Unattributed	
582		41v	414ex	Σευηρι(ανοῦ) and sign 	Rom 8:9 (III)	5	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 220, 14	
583		41v	415exa	ιε´ and Οἰκουμενίου	Rom 8:9 (III)	6	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 427, 17	
584	Orange	41v	415exb	Ἰωάννου and sign 	Rom 8:10 (full verse)	1	Thdt., Rom., III, 39 (CPG 6209): Lorrain, 2015a, 251.39, 2–6	
585		41v	416	ιϛ´	Rom 8:10 (I)	2	Unattributed	
586		41v	417	ιζ´ 	Rom 8:10 (II)	3	Unattributed	
587		41v	418	ιη´	Rom 8:10 (III)	4	Unattributed	
588	Orange	41v	418ex	Sign	Rom 8:11 (I)	1	Cyr., Rom. (CPG 5209): Pusey, 1872, 214, 25, 215, 1–8	
589		41v	419	ιθ´	Rom 8:11 (I)	2	Unattributed	
590		41v	420	κ´	Rom 8:11 (II)	3	Unattributed	
591	Orange	41v	421	κα´	Rom 8:12	1	Unattributed	
592	Orange	41v	422	κβ´	Rom 8:13 (I)	1	Unattributed	
593		42r	423	κγ´	Rom 8:13 (II)	2	Unattributed	
594	Orange	42r	424	κδ´	Rom 8:14 (I)	1	Unattributed	
595		42r	425	κε´ 	Rom 8:14 (II)	2	Unattributed	
596	Orange	42r	426	κϛ´	Rom 8:15 (I)	1	Unattributed	
597	Green	42r	426Ph	Φωτ(ίου) 	Rom 8:15 (III)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 510, 5–23 	
598		42r	426ex	Oἰκου(μενίου)	Rom 8:15 (I)	3	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 427, 17–20	
599		42r	427	κζ´	Rom 8:15 (II)	4	Unattributed	
600		42r	428	κη´	Rom 8:15 (III)	5	Unattributed	
601		42r	429	κθ´ 	Rom 8:15 (IV)	6	Unattributed	
602	Orange	42v	430	λ´	Rom 8:16	1	Unattributed	
603	Orange	42v	431	λα´	Rom 8:17 (I)	1	Unattributed	
604		42v	432	λβ´	Rom 8:17 (II)	2	Unattributed	
605		42v	433	λγ´	Rom 8:17 (III)	3	Unattributed	
606		42v	434	λδ´	Rom 8:17 (IV)	4	Unattributed	
607	Orange	42v	435	λε´	Rom 8:18 (I)	1	Unattributed	
608		42v	436	λϛ´	Rom 8:18 (II)	2	Unattributed	
609		42v	437	λζ´	Rom 8:18 (III)	3	Unattributed	
610	Orange	42v	438	λη´	Rom 8:19 (I)	1	Unattributed	
611		42v	438ex	Sign	Rom 8:19 (I)	2	Chrys., hom 1‒32 in Rom. (CPG 4427), fr. hom. 14: Field, 1854, 234, E 4, or Jo. D., Rom.‒Philm. (CPG 8079): Volk, 2013, 84, 1458	
612		42v	439	λθ´	Rom 8:19 (I)	3	Unattributed	The number is present only in front of the scholium.
613		42v	440	μ´	Rom 8:19 (II)	4	Unattributed	The number is present only in front of the scholium.
614	Orange	43r	441	μα´ 	Rom 8:20 (I)	1	Unattributed	
615		43r	442	μβ´	Rom 8:20 (II)	2	Unattributed	
616		43r	443	μγ´	Rom 8:20 (III)	3	Unattributed	
617	Orange	43r	444	μδ´ 	Rom 8:21 (I)	1	Unattributed	
618		43r	444ex	Oἰκου(μενίου)	Rom 8:21 (I)	2	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 428, 1–3	
619	Orange	43r	445	με´ 	Rom 8:22 (I)	1	Unattributed	
620		43r	446	μϛ´	Rom 8:22(II)	2	Unattributed	
621	Orange	43r	447	μζ´	Rom 8:23 (I)	1	Unattributed	
622		43r	448	μη´	Rom 8:23 (II)	2	Unattributed	
623		43v	449	μθ´	Rom 8:23 (III)	3	Unattributed	
624		43v	449ex	Oἰκου(μενίου)	Rom 8:23 (III)	4	Oec., Rom.‒Heb. (CPG 7471): Staab, 428, 4	
625		43v	449Ph	Φωτ(ίου) 	Rom 8:23 (III)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 510, 24–34, 511, 1–26 	
626	Orange	43v	450	ν´	Rom 8:24	1	Unattributed	
627	Orange	44r	451	να´ 	Rom 8:25	1	Unattributed	
628	Orange	44r	451ex	Oἰκου(μενίου)	Rom 8:26 (I)	1	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 428, 5–6	
629		44r	452	νβ´	Rom 8:26 (I)	2	Unattributed	
630		44r	453	νγ´	Rom 8:26 (II)	3	Unattributed	
631		44r	454	νδ´	Rom 8:26 (III)	4	Unattributed	
632		44r	455	νε´ 	Rom 8:26 (IV)	5	Unattributed	
633		44r	455ex	Oἰκου(μενίου) and sign 	Rom 8:26 (IV)	6	Oec., Rom.‒Heb. (CPG 7471): Staab, 1933, 428, 6	
634		44r	455Ph	Φωτ(ίου) 	Rom 8:26 (IV)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 511, 29–31	
